origin,destination,length
Le Havre,Paris-St-Lazare,138
Dieppe,Paris-St-Lazare,145
Paris-St-Lazare,Rouen-Rive-Droite,97
Cherbourg,Paris-St-Lazare,194
Caen,Paris-St-Lazare,149
Paris-St-Lazare,Trouville-Deauville,147
Granville,Paris-Montp.3-Vaug.,201
Granville,Paris-Montparnasse 1-2,195
Dreux,Granville,142
Bourges,Paris-Austerlitz,122
Paris-Austerlitz,Vierzon,101
Bourges,Paris-Bercy,131
Nevers,Paris-Austerlitz,177
Bourges,Nevers,38
Nevers,Paris-Bercy,154
Nevers,Paris-Gare-de-Lyon,146
Argentan,Paris-Montp.3-Vaug.,121
Orléans,Paris-Austerlitz,75
Paris-Austerlitz,Tours,131
Orléans,Tours,72
Aubrais-(les),Paris-Austerlitz,71
Paris-Bercy,Tours,146
Orléans,Paris-Bercy,84
Paris-Austerlitz,St-Pierre-des-Corps,118
Calais Ville,Paris Nord,183
Boulogne Ville,Paris Nord,145
Amiens,Calais Ville,107
Boulogne Ville,Calais Ville,28
Amiens,Boulogne Ville,75
Amiens,Paris Nord,74
Cambrai Ville,Paris Nord,155
Maubeuge,Paris Nord,119
Paris Nord,St Quentin,100
Compiègne,Maubeuge,80
Argentan,Dreux,69
Caen,Le Mans,111
Caen,Tours,182
Le Mans,Paris-Montparnasse 1-2,135
Nogent-le-Rotrou,Paris-Montparnasse 1-2,102
Chartres,Paris-Montparnasse 1-2,70
Chartres,Le Mans,70
Blois-Chambord,Tours,38
Lyon-Perrache,Tours,366
Lyon-Perrache,Nevers,211
Latour-de-Carol-Enveitg,Villefranche-Vernet-l.B,174
Font-Romeu-Odeillo-Via,Villefranche-Vernet-l.B,88
Briançon,Romans-Bourg-de-Péage,241
Briançon,Veynes-Dévoluy,97
Romans-Bourg-de-Péage,Veynes-Dévoluy,153
Gap,Romans-Bourg-de-Péage,172
Briançon,Gap,75
Briançon,Valence-Ville,247
Briançon,Marseille-St-Charles,302
Gap,Marseille-St-Charles,216
Aix-en-Provence,Marseille-St-Charles,50
Marseille-St-Charles,Nice-Ville,159
Les Arcs-Draguignan,Marseille-St-Charles,83
Grenoble,Valence-Ville,74
Chambéry-Chal.-les-Eaux,Valence-Ville,125
Annecy,Valence-Ville,181
Annecy,Chambéry-Chal.-les-Eaux,53
Annecy,Avignon-Centre,277
Annecy,Grenoble,103
Grenoble,Lyon-Part-Dieu,82
Avignon-Centre,Lyon-Part-Dieu,141
Lyon-Part-Dieu,Marseille-St-Charles,246
Avignon-Centre,Marseille-St-Charles,78
Dijon-Ville,Paris-Bercy,171
Dijon-Ville,Paris-Gare-de-Lyon,170
Lyon-Part-Dieu,Sens,262
Lyon-Part-Dieu,Paris-Bercy,308
Dijon-Ville,Lyon-Part-Dieu,124
Lyon-Part-Dieu,Paris-Gare-de-Lyon,309
Mâcon-Ville,Paris-Bercy,262
Dijon-Ville,Mâcon-Ville,74
Mâcon-Ville,Paris-Gare-de-Lyon,263
Lyon-Perrache,Paris-Bercy,324
Dijon-Ville,Lyon-Perrache,137
Lyon-Perrache,Paris-Gare-de-Lyon,323
Bourg-St-Maurice,Lyon-Part-Dieu,217
Bourg-St-Maurice,Bourgoin-Jallieu,188
Albertville,Bourgoin-Jallieu,119
Chambéry-Chal.-les-Eaux,Lyon-Part-Dieu,80
Bourgoin-Jallieu,Chambéry-Chal.-les-Eaux,55
La Chaux-de-Fonds,Morteau,29
Besançon-Viotte,La Chaux-de-Fonds,118
Besançon-Mouillère,La Chaux-de-Fonds,112
Pontarlier,Vallorbe-Cff,33
Frasne,Neuchâtel,60
Neuchâtel,Travers,22
Dole-Ville,Vallorbe-Cff,63
Frasne,Vallorbe-Cff,17
Delémont,Meroux,69
Delle,Delémont,52
Biel,Meroux,99
Biel,Delle,82
Lyon-Part-Dieu,Modane,182
Aix-les-Bains-le-Revard,Lyon-Part-Dieu,78
St-Gervais-L-B-Le-Fayet,Vallorcine,95
Chamonix-Mont-Blanc,Vallorcine,33
Chamonix-Mont-Blanc,St-Gervais-L-B-Le-Fayet,45
Aulnoye Aymeries,Mons,28
Courtrai/Kortrijk,Lille Flandres,36
Maubeuge,Namur,84
Lille Flandres,Tournai,30
Brive-la-Gaillarde,Ussel,106
Dijon-Ville,Nevers,203
Le Creusot,Montchanin,11
Nice-Ville,Tende,137
Breil-sur-Roya,Nice-Ville,70
Annemasse,Coppet,51
Decize,Nevers,33
Annemasse,Genève,23
Coppet,Evian-les-Bains,94
Coppet,Thonon-les-Bains,85
Annemasse,Thonon-les-Bains,33
Annecy,Genève,89
Annecy,Coppet,117
Coppet,La Roche-sur-Foron,79
Coppet,St-Gervais-L-B-Le-Fayet,132
Cluses (Hte-Savoie),Coppet,108
Forbach,Metz-Ville,47
Bening,Metz-Ville,41
Bitche,Haguenau,69
Bitche,Niederbronn,26
Bitche-Camp,Niederbronn,38
Haguenau,Niederbronn,40
Bitche-Camp,Haguenau,76
Haguenau,Strasbourg,50
Haguenau,Wissembourg,37
Bouxwiller-Schattenmann,Haguenau-Moulin-Neuf.,43
Saverne,Niedermodern/Uberach,50
Ingwiller,Haguenau-Moulin-Neuf.,41
Dossenheim-(Mairie),Haguenau-Moulin-Neuf.,69
Obermodern,Saverne-(Ht-Barr),47
