origin,destination,length
592,215,138
492,215,145
215,14,97
715,215,194
415,215,149
215,549,147
15,110,201
15,813,195
347,15,142
712,807,122
807,545,101
712,212,131
3,807,177
712,3,38
3,212,154
3,611,146
687,110,121
547,807,75
807,526,131
547,526,72
203,807,71
212,526,146
547,212,84
807,162,118
289,56,183
706,56,145
26,289,107
706,289,28
26,706,75
26,56,74
559,56,155
325,56,119
56,24,100
145,325,80
687,347,69
415,538,111
415,526,182
538,813,135
27,813,102
707,813,70
707,538,70
50,526,38
464,526,366
464,3,211
252,68,174
755,68,88
118,369,241
118,298,97
369,298,153
98,369,172
118,98,75
118,239,247
118,588,302
98,588,216
691,588,50
588,92,159
748,588,83
562,239,74
326,239,125
716,239,181
716,326,53
716,608,277
716,562,103
562,128,82
608,128,141
128,588,246
608,588,78
149,212,171
149,611,170
128,13,262
128,212,308
149,128,124
128,611,309
534,212,262
149,534,74
534,611,263
464,212,324
149,464,137
464,611,323
51,128,217
51,82,188
521,82,119
326,128,80
82,326,55
272,475,29
685,272,118
380,272,112
782,618,33
756,44,60
44,122,22
318,618,63
756,618,17
422,260,69
558,422,52
385,260,99
385,558,82
128,95,182
566,128,78
665,466,95
467,466,33
467,665,45
173,773,28
117,603,36
325,341,84
603,332,30
205,79,106
149,3,203
499,237,11
92,342,137
257,92,70
48,781,51
319,3,33
48,101,23
781,363,94
781,440,85
48,440,33
716,101,89
716,781,117
781,465,79
781,665,132
408,781,108
568,177,47
652,177,41
747,711,69
747,624,26
130,624,38
711,624,40
130,711,76
711,750,50
711,10,37
560,468,43
771,137,50
429,468,41
621,468,69
256,752,47
429,752,56
771,468,81
548,621,20
560,137,25
560,256,10
256,468,31
256,771,36
256,137,12
548,137,20
621,256,23
771,214,18
256,144,8
771,144,43
750,670,53
541,750,42
681,251,45
463,570,19
760,570,15
723,570,13
548,570,30
294,168,31
168,750,125
294,750,91
750,393,64
429,39,18
429,108,23
771,750,57
199,771,15
154,270,32
154,730,77
154,753,32
154,38,7
681,374,43
811,650,60
292,650,66
176,730,60
429,349,64
2,752,83
2,771,58
2,349,85
771,375,20
375,733,33
375,349,42
375,752,43
355,750,51
351,135,30
802,750,20
484,309,33
309,750,40
484,750,89
309,670,76
151,750,72
365,750,104
459,730,25
471,730,77
471,539,30
670,115,20
670,57,36
670,166,35
758,670,71
670,693,36
631,625,55
670,751,35
166,625,64
370,625,49
751,0,69
670,327,45
121,545,125
54,578,24
500,161,57
161,537,46
794,22,111
794,96,88
121,143,108
500,578,84
500,90,156
322,90,118
500,31,184
500,121,146
121,537,120
515,794,121
99,143,78
500,322,71
500,605,39
33,605,39
121,183,44
121,739,59
322,726,40
121,622,40
382,717,20
33,500,69
500,595,91
500,576,98
500,726,32
605,622,113
515,738,50
288,738,30
515,494,77
500,394,136
382,622,15
500,198,133
537,495,54
121,495,60
378,71,69
500,738,93
378,494,56
378,564,31
494,738,30
288,494,49
605,164,22
398,457,5
293,589,10
293,550,12
457,293,37
457,31,64
293,31,49
31,589,53
515,31,81
31,90,80
31,406,47
19,31,107
19,143,119
519,143,66
79,54,39
515,60,46
486,735,30
60,216,13
457,60,54
500,79,100
583,3,98
714,3,68
120,42,21
120,499,49
120,237,62
99,3,68
3,323,33
99,551,82
244,778,67
778,53,133
254,482,48
684,482,103
236,356,63
236,795,76
236,533,111
795,533,35
196,277,22
741,85,57
741,354,33
197,645,30
563,449,15
696,628,50
757,696,5
757,563,55
617,66,59
790,586,108
456,768,51
190,456,50
384,456,123
384,190,77
384,109,67
384,672,100
721,530,32
721,672,98
672,698,55
690,530,18
384,698,60
698,530,85
384,353,48
261,384,19
330,672,97
662,672,130
279,672,78
672,295,26
390,279,35
434,333,60
163,269,58
686,471,102
686,666,37
685,475,88
598,475,20
783,475,54
318,729,47
651,729,84
729,796,28
685,729,58
756,782,30
632,782,21
782,544,10
756,626,56
184,490,87
314,318,102
810,490,107
318,490,204
729,490,124
64,158,50
565,425,25
425,7,90
565,7,68
258,418,75
500,7,180
31,597,135
7,494,84
565,597,133
7,418,50
636,194,90
